t	h
465.252	25136.4
466.253	25137.9
467.254	25139.3
468.255	25140.8
469.256	25142.2
470.257	25143.6
471.258	25145
472.259	25146.4
473.26	25147.8
474.261	25149.1
475.262	25150.4
476.263	25151.7
477.264	25153
478.265	25154.3
479.266	25155.6
480.267	25156.8
481.268	25158
482.269	25159.2
483.27	25160.4
484.271	25161.6
485.272	25162.7
486.273	25163.9
487.274	25165
488.275	25166.1
489.276	25167.2
490.277	25168.2
491.278	25169.3
492.279	25170.3
493.28	25171.3
494.281	25172.3
495.282	25173.3
496.283	25174.3
497.284	25175.2
498.285	25176.1
499.286	25177
500.287	25177.9
501.288	25178.8
502.289	25179.7
503.29	25180.5
504.291	25181.3
505.292	25182.1
506.293	25182.9
507.294	25183.7
508.295	25184.4
509.296	25185.2
510.297	25185.9
511.298	25186.6
512.299	25187.3
513.3	25187.9
514.301	25188.6
515.302	25189.2
516.303	25189.8
517.304	25190.4
518.305	25191
519.306	25191.5
520.307	25192.1
521.308	25192.6
522.309	25193.1
523.31	25193.6
524.311	25194.1
525.312	25194.5
526.313	25195
527.314	25195.4
528.315	25195.8
529.316	25196.2
530.317	25196.5
531.318	25196.9
532.319	25197.2
533.32	25197.5
534.321	25197.8
535.322	25198.1
536.323	25198.4
537.324	25198.6
538.325	25198.9
539.326	25199.1
540.327	25199.3
541.328	25199.4
542.329	25199.6
543.33	25199.7
544.331	25199.8
545.332	25200
546.333	25200
547.334	25200.1
548.335	25200.2
549.336	25200.2
550.337	25200.2
551.338	25200.2
552.339	25200.2
553.34	25200.2
554.341	25200.1
555.342	25200
556.343	25200
557.344	25199.8
558.345	25199.7
559.346	25199.6
560.347	25199.4
561.348	25199.3
562.349	25199.1
563.35	25198.9
564.351	25198.7
565.352	25198.5
566.353	25198.2
567.354	25198
568.355	25197.7
569.356	25197.5
570.357	25197.2
571.358	25196.9
572.359	25196.6
573.36	25196.3
574.361	25196
575.362	25195.7
576.363	25195.3
577.364	25195
578.365	25194.7
579.366	25194.3
580.367	25194
581.368	25193.6
582.369	25193.3
583.37	25193
584.371	25192.6
585.372	25192.3
586.373	25191.9
587.374	25191.6
588.375	25191.2
589.376	25190.9
590.377	25190.5
591.378	25190.2
592.379	25189.8
593.38	25189.5
594.381	25189.2
595.382	25188.8
596.383	25188.5
597.384	25188.2
598.385	25187.9
599.386	25187.6
600.387	25187.3
601.388	25187
602.389	25186.7
603.39	25186.4
604.391	25186.2
605.392	25185.9
606.393	25185.6
607.394	25185.4
608.395	25185.1
609.396	25184.9
610.397	25184.7
611.398	25184.5
612.399	25184.2
613.4	25184
614.401	25183.9
615.402	25183.7
616.403	25183.5
617.404	25183.3
618.405	25183.2
619.406	25183
620.407	25182.9
621.408	25182.8
622.409	25182.7
623.41	25182.6
624.411	25182.5
625.412	25182.4
626.413	25182.3
627.414	25182.2
628.415	25182.2
629.416	25182.2
630.417	25182.1
631.418	25182.1
632.419	25182.1
633.42	25182.1
634.421	25182.1
635.422	25182.1
636.423	25182.1
637.424	25182.2
638.425	25182.2
639.426	25182.3
640.427	25182.4
641.428	25182.4
642.429	25182.5
643.43	25182.6
644.431	25182.7
645.432	25182.9
646.433	25183
647.434	25183.1
648.435	25183.3
649.436	25183.4
650.437	25183.6
651.438	25183.7
652.439	25183.9
653.44	25184.1
654.441	25184.3
655.442	25184.4
656.443	25184.6
657.444	25184.8
658.445	25185
659.446	25185.2
660.447	25185.5
661.448	25185.7
662.449	25185.9
663.45	25186.1
664.451	25186.3
665.452	25186.5
666.453	25186.8
667.454	25187
668.455	25187.2
669.456	25187.4
670.457	25187.7
671.458	25187.9
672.459	25188.1
673.46	25188.3
674.461	25188.6
675.462	25188.8
676.463	25189
677.464	25189.2
678.465	25189.4
679.466	25189.6
680.467	25189.8
681.468	25190
682.469	25190.2
683.47	25190.4
684.471	25190.6
685.472	25190.8
686.473	25191
687.474	25191.2
688.475	25191.4
689.476	25191.5
690.477	25191.7
691.478	25191.8
692.479	25192
693.48	25192.1
694.481	25192.3
695.482	25192.4
696.483	25192.5
697.484	25192.7
698.485	25192.8
699.486	25192.9
700.487	25193
701.488	25193.1
702.489	25193.2
703.49	25193.3
704.491	25193.3
705.492	25193.4
706.493	25193.5
707.494	25193.5
708.495	25193.5
709.496	25193.6
710.497	25193.6
711.498	25193.6
712.499	25193.7
713.5	25193.7
714.501	25193.7
715.502	25193.7
716.503	25193.6
717.504	25193.6
718.505	25193.6
719.506	25193.6
720.507	25193.5
721.508	25193.5
722.509	25193.4
723.51	25193.3
724.511	25193.3
725.512	25193.2
726.513	25193.1
727.514	25193
728.515	25192.9
729.516	25192.8
730.517	25192.7
731.518	25192.6
732.519	25192.5
733.52	25192.4
734.521	25192.2
735.522	25192.1
736.523	25192
737.524	25191.8
738.525	25191.7
739.526	25191.5
740.527	25191.4
741.528	25191.2
742.529	25191.1
743.53	25190.9
744.531	25190.7
745.532	25190.6
746.533	25190.4
747.534	25190.2
748.535	25190.1
749.536	25189.9
750.537	25189.7
751.538	25189.6
752.539	25189.4
753.54	25189.2
754.541	25189.1
755.542	25188.9
756.543	25188.7
757.544	25188.6
758.545	25188.4
759.546	25188.3
760.547	25188.1
761.548	25187.9
762.549	25187.8
763.55	25187.6
764.551	25187.5
765.552	25187.4
766.553	25187.2
767.554	25187.1
768.555	25186.9
769.556	25186.8
770.557	25186.7
771.558	25186.6
772.559	25186.4
773.56	25186.3
774.561	25186.2
775.562	25186.1
776.563	25186
777.564	25185.9
778.565	25185.8
779.566	25185.7
780.567	25185.6
781.568	25185.6
782.569	25185.5
783.57	25185.4
784.571	25185.4
785.572	25185.3
786.573	25185.3
787.574	25185.2
788.575	25185.2
789.576	25185.2
790.577	25185.1
791.578	25185.1
792.579	25185.1
793.58	25185.1
794.581	25185.1
795.582	25185.1
796.583	25185.1
797.584	25185.1
798.585	25185.1
799.586	25185.2
800.587	25185.2
801.588	25185.2
802.589	25185.3
803.59	25185.3
804.591	25185.4
805.592	25185.4
806.593	25185.5
807.594	25185.5
808.595	25185.6
809.596	25185.7
810.597	25185.8
811.598	25185.9
812.599	25186
813.6	25186.1
814.601	25186.2
815.602	25186.3
816.603	25186.4
817.604	25186.5
818.605	25186.6
819.606	25186.7
820.607	25186.8
821.608	25186.9
822.609	25187.1
823.61	25187.2
824.611	25187.3
825.612	25187.4
826.613	25187.6
827.614	25187.7
828.615	25187.8
829.616	25188
830.617	25188.1
831.618	25188.2
832.619	25188.4
833.62	25188.5
834.621	25188.6
835.622	25188.8
836.623	25188.9
837.624	25189
838.625	25189.2
839.626	25189.3
840.627	25189.4
841.628	25189.5
842.629	25189.7
843.63	25189.8
844.631	25189.9
845.632	25190
846.633	25190.1
847.634	25190.3
848.635	25190.4
849.636	25190.5
850.637	25190.6
851.638	25190.7
852.639	25190.8
853.64	25190.9
854.641	25191
855.642	25191
856.643	25191.1
857.644	25191.2
858.645	25191.3
